"Year","Cohort","Sex","Drivers"
"1963","Under 16","Male","187"
"1963","Under 16","Female","114"
"1963","16","Male","890"
"1963","16","Female","578"
"1963","17","Male","1,213"
"1963","17","Female","693"
"1963","18","Male","1,001"
"1963","18","Female","674"
"1963","19","Male","1,116"
"1963","19","Female","769"
"1963","20","Male","1,236"
"1963","20","Female","863"
"1963","21","Male","1,250"
"1963","21","Female","895"
"1963","22","Male","1,271"
"1963","22","Female","916"
"1963","23","Male","1,193"
"1963","23","Female","863"
"1963","24","Male","1,144"
"1963","24","Female","832"
"1963","25-29","Male","5,707"
"1963","25-29","Female","4,114"
"1963","30-34","Male","5,611"
"1963","30-34","Female","4,213"
"1963","35-39","Male","5,947"
"1963","35-39","Female","4,475"
"1963","40-44","Male","5,784"
"1963","40-44","Female","4,265"
"1963","45-49","Male","5,298"
"1963","45-49","Female","3,674"
"1963","50-54","Male","4,718"
"1963","50-54","Female","3,037"
"1963","55-59","Male","4,091"
"1963","55-59","Female","2,392"
"1963","60-64","Male","3,253"
"1963","60-64","Female","1,664"
"1963","65-69","Male","2,539"
"1963","65-69","Female","1,086"
"1963","70-74","Male",
"1963","70-74","Female",
"1963","75-79","Male",
"1963","75-79","Female",
"1963","80-84","Male",
"1963","80-84","Female",
"1963","85 and Older","Male",
"1963","85 and Older","Female",
"1964","Under 16","Male","104"
"1964","Under 16","Female","66"
"1964","16","Male","792"
"1964","16","Female","538"
"1964","17","Male","1,288"
"1964","17","Female","829"
"1964","18","Male","1,276"
"1964","18","Female","868"
"1964","19","Male","1,257"
"1964","19","Female","857"
"1964","20","Male","1,271"
"1964","20","Female","922"
"1964","21","Male","1,285"
"1964","21","Female","956"
"1964","22","Male","1,307"
"1964","22","Female","978"
"1964","23","Male","1,227"
"1964","23","Female","921"
"1964","24","Male","1,176"
"1964","24","Female","888"
"1964","25-29","Male","5,786"
"1964","25-29","Female","4,290"
"1964","30-34","Male","5,688"
"1964","30-34","Female","4,291"
"1964","35-39","Male","5,946"
"1964","35-39","Female","4,567"
"1964","40-44","Male","5,890"
"1964","40-44","Female","4,404"
"1964","45-49","Male","5,314"
"1964","45-49","Female","3,795"
"1964","50-54","Male","4,751"
"1964","50-54","Female","3,162"
"1964","55-59","Male","4,036"
"1964","55-59","Female","2,423"
"1964","60-64","Male","3,208"
"1964","60-64","Female","1,715"
"1964","65-69","Male","2,422"
"1964","65-69","Female","1,096"
"1964","70-74","Male",
"1964","70-74","Female",
"1964","75-79","Male",
"1964","75-79","Female",
"1964","80-84","Male",
"1964","80-84","Female",
"1964","85 and Older","Male",
"1964","85 and Older","Female",
"1965","Under 16","Male","82"
"1965","Under 16","Female","54"
"1965","16","Male","807"
"1965","16","Female","551"
"1965","17","Male","1,339"
"1965","17","Female","877"
"1965","18","Male","1,474"
"1965","18","Female","1,015"
"1965","19","Male","1,421"
"1965","19","Female","1,003"
"1965","20","Male","1,295"
"1965","20","Female","945"
"1965","21","Male","1,297"
"1965","21","Female","985"
"1965","22","Male","1,373"
"1965","22","Female","1,054"
"1965","23","Male","1,360"
"1965","23","Female","1,039"
"1965","24","Male","1,260"
"1965","24","Female","972"
"1965","25-29","Male","5,882"
"1965","25-29","Female","4,436"
"1965","30-34","Male","5,666"
"1965","30-34","Female","4,362"
"1965","35-39","Male","5,962"
"1965","35-39","Female","4,671"
"1965","40-44","Male","5,984"
"1965","40-44","Female","4,560"
"1965","45-49","Male","5,457"
"1965","45-49","Female","3,955"
"1965","50-54","Male","4,870"
"1965","50-54","Female","3,299"
"1965","55-59","Male","4,149"
"1965","55-59","Female","2,559"
"1965","60-64","Male","3,228"
"1965","60-64","Female","1,777"
"1965","65-69","Male","2,448"
"1965","65-69","Female","1,149"
"1965","70-74","Male",
"1965","70-74","Female",
"1965","75-79","Male",
"1965","75-79","Female",
"1965","80-84","Male",
"1965","80-84","Female",
"1965","85 and Older","Male",
"1965","85 and Older","Female",
"1966","Under 16","Male","74"
"1966","Under 16","Female","52"
"1966","16","Male","821"
"1966","16","Female","572"
"1966","17","Male","1,335"
"1966","17","Female","913"
"1966","18","Male","1,449"
"1966","18","Female","1,033"
"1966","19","Male","1,553"
"1966","19","Female","1,153"
"1966","20","Male","1,423"
"1966","20","Female","1,082"
"1966","21","Male","1,265"
"1966","21","Female","983"
"1966","22","Male","1,326"
"1966","22","Female","1,032"
"1966","23","Male","1,396"
"1966","23","Female","1,084"
"1966","24","Male","1,393"
"1966","24","Female","1,086"
"1966","25-29","Male","6,090"
"1966","25-29","Female","4,644"
"1966","30-34","Male","5,676"
"1966","30-34","Female","4,379"
"1966","35-39","Male","5,905"
"1966","35-39","Female","4,635"
"1966","40-44","Male","5,999"
"1966","40-44","Female","4,588"
"1966","45-49","Male","5,544"
"1966","45-49","Female","4,069"
"1966","50-54","Male","4,924"
"1966","50-54","Female","3,371"
"1966","55-59","Male","4,247"
"1966","55-59","Female","2,672"
"1966","60-64","Male","3,374"
"1966","60-64","Female","1,894"
"1966","65-69","Male","2,494"
"1966","65-69","Female","1,225"
"1966","70-74","Male",
"1966","70-74","Female",
"1966","75-79","Male",
"1966","75-79","Female",
"1966","80-84","Male",
"1966","80-84","Female",
"1966","85 and Older","Male",
"1966","85 and Older","Female",
"1967","Under 16","Male","67"
"1967","Under 16","Female","48"
"1967","16","Male","822"
"1967","16","Female","545"
"1967","17","Male","1,338"
"1967","17","Female","891"
"1967","18","Male","1,459"
"1967","18","Female","1,023"
"1967","19","Male","1,567"
"1967","19","Female","1,153"
"1967","20","Male","1,559"
"1967","20","Female","1,195"
"1967","21","Male","1,444"
"1967","21","Female","1,137"
"1967","22","Male","1,321"
"1967","22","Female","1,024"
"1967","23","Male","1,358"
"1967","23","Female","1,066"
"1967","24","Male","1,408"
"1967","24","Female","1,092"
"1967","25-29","Male","6,312"
"1967","25-29","Female","4,871"
"1967","30-34","Male","5,739"
"1967","30-34","Female","4,467"
"1967","35-39","Male","5,922"
"1967","35-39","Female","4,676"
"1967","40-44","Male","6,056"
"1967","40-44","Female","4,687"
"1967","45-49","Male","5,653"
"1967","45-49","Female","4,190"
"1967","50-54","Male","4,988"
"1967","50-54","Female","3,501"
"1967","55-59","Male","4,311"
"1967","55-59","Female","2,818"
"1967","60-64","Male","3,392"
"1967","60-64","Female","1,985"
"1967","65-69","Male","2,491"
"1967","65-69","Female","1,286"
"1967","70-74","Male",
"1967","70-74","Female",
