Month,16-17,18-19,20-24,25-54
2014-01,22.6,45.2,70.7,80.9
2014-02,21.3,46.2,70.3,81.1
2014-03,22.1,47.4,71.8,81.1
2014-04,20.7,47.6,70.5,80.8
2014-05,21.7,47.3,70.9,80.7
2014-06,21.6,47.0,70.3,81.0
2014-07,22.5,47.4,71.0,80.8
2014-08,22.4,46.5,70.2,81.1
2014-09,21.1,49.4,71.1,80.8
2014-10,23.5,50.0,71.5,80.9
2014-11,23.1,49.6,71.3,80.9
2014-12,23.4,47.5,70.4,80.9
2015-01,23.0,48.2,70.2,81.0
2015-02,22.5,48.0,70.8,80.9
2015-03,22.2,48.4,69.8,80.8
2015-04,22.9,47.9,69.5,81.0
2015-05,23.5,48.2,71.1,81.1
2015-06,22.5,47.0,70.9,80.9
2015-07,22.4,46.4,70.9,80.7
2015-08,22.6,46.7,71.4,80.7
2015-09,21.9,47.4,70.2,80.6
2015-10,21.9,48.2,70.9,80.8
2015-11,21.5,48.0,71.0,80.9
2015-12,22.8,49.9,71.3,80.9
2016-01,23.2,48.4,69.7,81.1
2016-02,23.6,48.9,70.4,81.1
2016-03,23.3,48.7,70.8,81.3
2016-04,23.6,49.3,70.3,81.2
2016-05,24.2,48.2,70.5,81.2
2016-06,24.6,45.6,70.5,81.3
2016-07,24.2,48.1,70.0,81.3
2016-08,24.5,49.5,71.0,81.4
2016-09,24.4,48.7,70.2,81.5
2016-10,22.9,49.6,70.3,81.5
2016-11,22.0,50.7,70.9,81.4
2016-12,23.2,49.2,71.4,81.3
2017-01,24.0,48.7,71.2,81.5
2017-02,23.8,48.7,71.8,81.6
2017-03,25.9,47.4,71.3,81.6
2017-04,25.5,47.8,71.5,81.7
2017-05,24.9,46.5,71.0,81.7
2017-06,25.7,47.4,70.5,81.6
2017-07,24.4,46.3,71.6,81.8
2017-08,24.9,46.9,72.0,81.6
2017-09,24.9,48.6,71.9,81.9
2017-10,23.7,48.4,71.6,81.6
2017-11,24.6,47.5,70.7,81.7
2017-12,23.9,47.9,70.7,81.8
2018-01,24.4,48.9,71.9,81.7
2018-02,24.7,49.6,71.7,82.1
2018-03,24.7,48.3,72.0,82.0
2018-04,23.6,48.0,71.4,82.0
2018-05,23.5,47.3,71.3,81.9
2018-06,24.2,47.5,71.3,82.1
2018-07,24.6,46.7,71.3,82.1
2018-08,22.7,44.9,70.1,81.9
2018-09,23.1,47.8,70.9,81.9
2018-10,24.4,47.5,70.1,82.3
2018-11,24.1,47.9,70.3,82.2
2018-12,23.5,49.5,70.7,82.3
2019-01,22.1,50.1,71.6,82.5
2019-02,23.3,48.1,71.6,82.5
2019-03,23.1,49.4,71.8,82.4
2019-04,22.4,46.4,72.2,82.2
2019-05,22.7,46.8,73.3,82.2
2019-06,24.5,47.0,72.4,82.2
2019-07,24.2,49.2,72.6,82.1
2019-08,24.1,46.8,72.1,82.5
2019-09,23.6,48.2,72.5,82.7
2019-10,23.5,49.9,72.6,82.8
2019-11,25.1,48.4,71.4,82.9
2019-12,24.7,48.7,71.7,83.0
2020-01,25.3,48.3,72.8,83.1
2020-02,25.2,49.3,73.0,82.9
2020-03,25.1,47.6,70.0,82.4
2020-04,19.8,40.8,64.3,79.8
2020-05,22.8,44.4,66.2,80.6
2020-06,23.1,44.6,67.5,81.4
2020-07,23.7,44.2,68.3,81.2
2020-08,23.7,45.7,68.7,81.3
2020-09,24.6,49.0,69.2,80.9
2020-10,24.6,48.9,70.8,81.3
2020-11,24.1,49.0,70.5,81.0
2020-12,23.2,50.5,70.5,81.1
2021-01,24.2,48.8,70.0,81.1
2021-02,25.2,49.3,70.0,81.1
2021-03,25.3,47.7,70.2,81.3
2021-04,26.4,49.0,70.4,81.3
2021-05,26.3,48.0,70.4,81.3
2021-06,25.9,45.8,70.8,81.7
2021-07,26.2,46.9,70.8,81.8
2021-08,26.3,47.3,70.4,81.7
2021-09,25.6,49.0,70.7,81.6
2021-10,25.0,49.4,71.3,81.8
2021-11,25.7,49.6,71.9,82.0
2021-12,25.3,49.5,72.0,82.0
2022-01,27.0,47.7,70.8,82.0
2022-02,28.1,45.1,71.4,82.2
2022-03,27.7,47.4,71.2,82.5
2022-04,28.1,46.3,70.2,82.4
2022-05,27.3,46.8,70.7,82.6
2022-06,26.7,47.4,71.4,82.3
2022-07,26.0,47.3,71.4,82.4
2022-08,27.4,50.0,70.6,82.8
2022-09,25.1,51.2,70.9,82.6
2022-10,25.6,50.2,70.8,82.6
2022-11,27.1,50.5,70.6,82.4
2022-12,27.7,47.9,71.4,82.6
2023-01,27.2,49.0,71.4,82.7
2023-02,26.3,50.5,72.0,83.0
2023-03,26.6,49.3,71.9,83.1
2023-04,26.1,49.9,70.7,83.3
2023-05,26.6,48.7,71.5,83.4
2023-06,26.1,48.2,71.0,83.5
2023-07,25.6,47.4,70.7,83.4
2023-08,26.6,49.0,71.4,83.4
2023-09,26.1,48.2,71.5,83.5
2023-10,27.2,50.8,70.7,83.4
2023-11,27.4,49.5,71.5,83.4
2023-12,26.8,48.9,71.2,83.2
2024-01,27.3,47.0,72.3,83.3
2024-02,25.3,49.1,71.6,83.5
2024-03,27.0,50.6,71.8,83.4
2024-04,26.5,49.6,72.1,83.5
2024-05,27.3,49.9,70.8,83.6
2024-06,27.1,48.8,71.1,83.7
2024-07,25.9,47.8,71.4,84.0
2024-08,25.6,47.5,70.9,83.9
2024-09,26.6,49.1,70.8,83.8
2024-10,24.2,48.5,71.9,83.5
2024-11,24.3,49.6,71.5,83.5
2024-12,24.7,51.9,71.9,83.4
2025-01,23.8,50.8,72.2,83.5
2025-02,25.0,51.3,71.2,83.5
2025-03,26.0,50.8,71.9,83.3
2025-04,24.8,49.8,72.0,83.6
2025-05,24.3,48.9,71.3,83.4
2025-06,24.5,47.0,71.0,83.5
2025-07,24.7,46.3,71.0,83.4
2025-08,24.2,46.2,70.3,83.7
2025-09,25.5,48.9,71.1,83.7
2025-10,-,-,-,-
2025-11,25.0,48.6,71.8,83.8
2025-12,24.8,50.1,71.3,83.8
2026-01,24.7,47.5,71.3,84.0
2026-02,25.1,48.0,71.6,83.9
2026-03,24.9,48.4,70.5,83.8
