Year,Total,Men,Women
1948,66.2,85.8,48.0
1949,66.2,85.8,48.2
1950,64.9,86.0,45.1
1951,65.8,85.8,49.5
1952,63.7,85.2,47.1
1953,62.2,82.8,46.7
1954,61.7,82.5,45.5
1955,62.8,83.2,46.5
1956,66.0,85.8,49.7
1957,66.0,86.1,49.2
1958,64.0,83.5,47.4
1959,63.1,82.9,45.8
1960,64.7,83.0,48.4
1961,64.1,81.5,48.4
1962,64.3,81.9,48.8
1963,63.6,81.1,48.1
1964,63.2,81.2,47.1
1965,65.3,83.2,49.2
1966,66.7,83.1,52.2
1967,67.7,83.8,53.8
1968,67.8,82.6,55.1
1969,68.6,82.5,56.6
1970,68.7,82.2,56.8
1971,68.9,81.8,57.1
1972,70.2,82.3,58.9
1973,71.9,84.2,60.3
1974,73.2,84.3,62.6
1975,73.0,83.5,63.1
1976,74.1,83.8,64.9
1977,74.7,84.5,65.2
1978,76.5,85.0,68.4
1979,76.6,85.0,68.4
1980,76.3,84.4,68.5
1981,75.3,82.7,68.0
1982,74.7,81.2,68.5
1983,75.6,83.0,68.4
1984,76.3,82.5,70.3
1985,76.5,82.8,70.3
1986,76.7,82.9,70.6
1987,76.3,81.4,71.3
1988,76.9,82.5,71.4
1989,77.5,82.8,72.4
1990,75.1,80.8,69.5
1991,73.6,79.6,67.6
1992,74.6,79.8,69.5
1993,74.5,79.5,69.5
1994,74.1,78.8,69.4
1995,74.3,79.3,69.3
1996,73.3,78.3,68.3
1997,73.0,76.5,69.4
1998,72.8,76.3,69.3
1999,72.6,76.0,69.1
2000,71.6,75.2,68.1
2001,70.7,74.1,67.2
2002,69.5,72.3,66.6
2003,67.3,70.0,64.5
2004,67.2,70.4,63.9
2005,66.6,69.6,63.6
2006,66.7,69.7,63.6
2007,65.0,67.9,62.1
2008,65.1,68.1,62.1
2009,63.0,64.9,61.1
2010,60.5,62.7,58.1
2011,59.5,61.4,57.6
2012,60.5,63.2,57.8
2013,60.5,62.7,58.2
2014,60.5,63.2,57.8
2015,60.0,61.8,58.2
2016,60.1,62.4,57.7
2017,60.6,62.3,58.8
2018,60.6,61.1,60.0
2019,61.8,63.2,60.4
2020,57.3,58.4,56.2
2021,60.5,61.8,59.1
2022,60.4,61.7,59.2
2023,60.2,60.4,60.0
