age_group,year,sex,percent
18-24,1960,Men,52.4
18-24,1970,Men,54.3
18-24,1980,Men,54.3
18-24,1983,Men,61.4
18-24,1984,Men,61.7
18-24,1985,Men,59.7
18-24,1986,Men,58.8
18-24,1987,Men,61.3
18-24,1988,Men,60.7
18-24,1989,Men,58.1
18-24,1990,Men,58.1
18-24,1991,Men,60.2
18-24,1992,Men,60.4
18-24,1993,Men,59.3
18-24,1994,Men,59.5
18-24,1995,Men,58.4
18-24,1996,Men,59.0
18-24,1997,Men,59.8
18-24,1998,Men,58.6
18-24,1999,Men,57.5
18-24,2000,Men,57.1
18-24,2001,Men,55.1
18-24,2002,Men,55.3
18-24,2003,Men,54.8
18-24,2004,Men,56.5
18-24,2005,Men,53.0
18-24,2006,Men,53.7
18-24,2007,Men,54.7
18-24,2008,Men,56.1
18-24,2009,Men,56.7
18-24,2010,Men,57.3
18-24,2011,Men,58.6
18-24,2011,Men,58.9
18-24,2012,Men,60.5
18-24,2013,Men,58.6
18-24,2014,Men,58.2
18-24,2015,Men,58.2
18-24,2016,Men,59.1
18-24,2017,Men,57.6
18-24,2018,Men,57.8
18-24,2019,Men,56.3
18-24,2020,Men,60.1
18-24,2021,Men,60.2
18-24,2021,Men,59.9
18-24,2022,Men,56.7
18-24,2023,Men,58.2
18-24,2024,Men,58.3
18-24,2025,Men,58.8
18-24,1960,Women,34.9
18-24,1970,Women,41.3
18-24,1980,Women,42.7
18-24,1983,Women,47.6
18-24,1984,Women,46.8
18-24,1985,Women,47.8
18-24,1986,Women,46.7
18-24,1987,Women,47.5
18-24,1988,Women,48.4
18-24,1989,Women,47.0
18-24,1990,Women,47.7
18-24,1991,Women,48.8
18-24,1992,Women,48.0
18-24,1993,Women,46.9
18-24,1994,Women,46.3
18-24,1995,Women,46.7
18-24,1996,Women,48.0
18-24,1997,Women,48.2
18-24,1998,Women,47.5
18-24,1999,Women,49.0
18-24,2000,Women,47.1
18-24,2001,Women,45.4
18-24,2002,Women,46.0
18-24,2003,Women,45.7
18-24,2004,Women,46.5
18-24,2005,Women,46.0
18-24,2006,Women,46.7
18-24,2007,Women,47.6
18-24,2008,Women,48.2
18-24,2009,Women,48.9
18-24,2010,Women,49.2
18-24,2011,Women,50.3
18-24,2011,Women,50.2
18-24,2012,Women,51.9
18-24,2013,Women,52.0
18-24,2014,Women,51.5
18-24,2015,Women,51.8
18-24,2016,Women,52.3
18-24,2017,Women,51.9
18-24,2018,Women,51.9
18-24,2019,Women,52.8
18-24,2020,Women,56.3
18-24,2021,Women,55.4
18-24,2021,Women,55.1
18-24,2022,Women,54.5
18-24,2023,Women,54.6
18-24,2024,Women,56.4
18-24,2025,Women,56.4
25-34,1960,Men,10.9
25-34,1970,Men,9.5
25-34,1980,Men,10.5
25-34,1983,Men,13.7
25-34,1984,Men,13.2
25-34,1985,Men,13.3
25-34,1986,Men,14.2
25-34,1987,Men,14.5
25-34,1988,Men,15.0
25-34,1989,Men,14.6
25-34,1990,Men,15.0
25-34,1991,Men,14.9
25-34,1992,Men,15.3
25-34,1993,Men,15.8
25-34,1994,Men,15.6
25-34,1995,Men,15.4
25-34,1996,Men,16.0
25-34,1997,Men,14.5
25-34,1998,Men,14.6
25-34,1999,Men,13.9
25-34,2000,Men,12.9
25-34,2001,Men,13.1
25-34,2002,Men,13.6
25-34,2003,Men,13.5
25-34,2004,Men,13.9
25-34,2005,Men,13.5
25-34,2006,Men,14.3
25-34,2007,Men,14.2
25-34,2008,Men,15.1
25-34,2009,Men,15.6
25-34,2010,Men,16.4
25-34,2011,Men,17.1
25-34,2011,Men,18.6
25-34,2012,Men,16.9
25-34,2013,Men,16.8
25-34,2014,Men,17.7
25-34,2015,Men,18.2
25-34,2016,Men,19.6
25-34,2017,Men,19.6
25-34,2018,Men,20.77234506384304
25-34,2019,Men,20.4
25-34,2020,Men,22.0
25-34,2021,Men,20.3
25-34,2021,Men,20.7
25-34,2022,Men,18.7
25-34,2023,Men,19.7
25-34,2024,Men,18.7
25-34,2025,Men,19.2
25-34,1960,Women,7.4
25-34,1970,Women,6.6
25-34,1980,Women,7.0
25-34,1983,Women,7.6
25-34,1984,Women,7.6
25-34,1985,Women,8.0
25-34,1986,Women,8.0
25-34,1987,Women,7.7
25-34,1988,Women,8.3
25-34,1989,Women,7.9
25-34,1990,Women,8.1
25-34,1991,Women,8.7
25-34,1992,Women,8.8
25-34,1993,Women,8.8
25-34,1994,Women,8.8
25-34,1995,Women,8.5
25-34,1996,Women,9.0
25-34,1997,Women,8.6
25-34,1998,Women,8.5
25-34,1999,Women,8.6
25-34,2000,Women,8.3
25-34,2001,Women,8.1
25-34,2002,Women,8.3
25-34,2003,Women,7.0
25-34,2004,Women,8.0
25-34,2005,Women,8.1
25-34,2006,Women,8.8
25-34,2007,Women,9.3
25-34,2008,Women,10.3
25-34,2009,Women,9.9
25-34,2010,Women,10.5
25-34,2011,Women,9.7
25-34,2011,Women,9.7
25-34,2012,Women,10.4
25-34,2013,Women,11.1
25-34,2014,Women,11.7
25-34,2015,Women,12.1
25-34,2016,Women,12.5
25-34,2017,Women,12.5
25-34,2018,Women,12.829344665622902
25-34,2019,Women,13.1
25-34,2020,Women,13.4
25-34,2021,Women,13.2
25-34,2021,Women,13.2
25-34,2022,Women,12.4
25-34,2023,Women,12.3
25-34,2024,Women,12.9
25-34,2025,Women,13.6
