Year,AllItems,MotorVehicleInsurance,AllItemsIndex1960,MotorVehicleInsuranceIndex1960
1960,29.580,25.683,100.0,100.0
1961,29.890,25.933,101.0,101.0
1962,30.250,25.800,102.3,100.5
1963,30.630,26.067,103.5,101.5
1964,31.020,26.958,104.9,105.0
1965,31.510,29.258,106.5,113.9
1966,32.460,32.158,109.7,125.2
1967,33.360,33.108,112.8,128.9
1968,34.780,33.842,117.6,131.8
1969,36.680,36.950,124.0,143.9
1970,38.820,42.017,131.2,163.6
1971,40.490,46.775,136.9,182.1
1972,41.820,46.592,141.4,181.4
1973,44.400,45.775,150.1,178.2
1974,49.310,45.800,166.7,178.3
1975,53.820,48.367,181.9,188.3
1976,56.910,62.317,192.4,242.6
1977,60.610,69.808,204.9,271.8
1978,65.230,71.850,220.5,279.8
1979,72.580,75.817,245.4,295.2
1980,82.410,82.025,278.6,319.4
1981,90.930,85.908,307.4,334.5
1982,96.500,91.433,326.2,356.0
1983,99.600,100.358,336.7,390.8
1984,103.880,108.192,351.2,421.3
1985,107.570,119.208,363.7,464.2
1986,109.610,135.042,370.6,525.8
1987,113.630,146.233,384.1,569.4
1988,118.260,156.592,399.8,609.7
1989,123.970,166.550,419.1,648.5
1990,130.660,177.867,441.7,692.5
1991,136.190,191.517,460.4,745.7
1992,140.320,205.475,474.4,800.0
1993,144.460,216.683,488.4,843.7
1994,148.230,224.808,501.1,875.3
1995,152.380,234.292,515.1,912.2
1996,156.850,243.850,530.3,949.5
1997,160.520,251.600,542.7,979.6
1998,163.010,254.283,551.1,990.1
1999,166.580,253.833,563.2,988.3
2000,172.200,256.725,582.2,999.6
2001,177.070,268.142,598.6,1044.0
2002,179.880,291.583,608.1,1135.3
2003,183.960,314.442,621.9,1224.3
2004,188.880,323.192,638.5,1258.4
2005,195.290,329.850,660.2,1284.3
2006,201.590,331.775,681.5,1291.8
2007,207.340,333.143,700.9,1297.1
2008,215.300,341.519,727.9,1329.7
2009,214.540,356.998,725.3,1390.0
2010,218.060,375.180,737.2,1460.8
2011,224.940,388.655,760.4,1513.3
2012,229.590,402.476,776.2,1567.1
2013,232.960,419.400,787.6,1633.0
2014,236.740,437.219,800.3,1702.4
2015,237.020,460.611,801.3,1793.4
2016,240.010,489.149,811.4,1904.6
2017,245.120,526.911,828.7,2051.6
2018,251.110,565.957,848.9,2203.6
2019,255.660,571.032,864.3,2223.4
2020,258.810,544.633,874.9,2120.6
2021,270.970,565.313,916.1,2201.1
2022,292.650,609.840,989.4,2374.5
2023,304.700,716.004,1030.1,2787.9
2024,313.690,843.098,1060.5,3282.7
2025,322.180,892.622,1089.2,3475.5
