Year,CrudeOilFirstPurchasePrice
1963,2.89
1964,2.88
1965,2.86
1966,2.88
1967,2.92
1968,2.94
1969,3.09
1970,3.18
1971,3.39
1972,3.39
1973,3.89
1974,6.87
1975,7.67
1976,8.19
1977,8.57
1978,9.00
1979,12.64
1980,21.59
1981,31.77
1982,28.52
1983,26.19
1984,25.88
1985,24.09
1986,12.51
1987,15.40
1988,12.58
1989,15.86
1990,20.03
1991,16.54
1992,15.99
1993,14.25
1994,13.19
1995,14.62
1996,18.46
1997,17.23
1998,10.87
1999,15.56
2000,26.72
2001,21.84
2002,22.51
2003,27.56
2004,36.77
2005,50.28
2006,59.69
2007,66.52
2008,94.04
2009,56.35
2010,74.71
2011,95.73
2012,94.52
2013,95.99
2014,87.39
2015,44.39
2016,38.29
2017,48.05
2018,61.40
2019,55.59
2020,36.86
2021,65.84
2022,93.97
2023,76.10
2024,74.52
