Year,LeadedRegularGasoline,GasolineIndex1978,YouthJulLFPR,YouthJulLFPR_Index1963,Licensed18Share,Licensed18Share_Index1963
1963,0.304,48.5,63.6,100.0,1.79,100.0
1964,0.304,48.5,63.2,99.4,2.25,125.5
1965,0.312,49.8,65.3,102.7,2.53,141.2
1966,0.321,51.2,66.7,104.9,2.46,137.3
1967,0.332,53.0,67.7,106.4,2.41,134.4
1968,0.337,53.7,67.8,106.6,2.32,129.7
1969,0.348,55.5,68.6,107.9,2.47,138.1
1970,0.357,56.9,68.7,108.0,2.53,141.2
1971,0.364,58.1,68.9,108.3,2.46,137.6
1972,0.361,57.6,70.2,110.4,2.54,141.9
1973,0.388,61.9,71.9,113.1,2.46,137.7
1974,0.532,84.8,73.2,115.1,2.55,142.7
1975,0.567,90.4,73.0,114.8,2.56,142.8
1976,0.590,94.1,74.1,116.5,2.47,138.2
1977,0.622,99.2,74.7,117.5,2.43,135.5
1978,0.627,100.0,76.5,120.3,2.38,133.0
1979,0.857,136.7,76.6,120.4,2.34,130.7
1980,1.191,190.0,76.3,120.0,2.23,124.8
1981,1.311,209.1,75.3,118.4,2.17,121.2
1982,1.222,194.9,74.7,117.5,2.09,116.9
1983,1.158,184.7,75.6,118.9,2.09,116.9
1984,1.129,180.1,76.3,120.0,1.82,101.5
1985,1.115,177.8,76.5,120.3,1.77,99.0
1986,0.857,136.7,76.7,120.6,1.70,95.1
1987,0.897,143.1,76.3,120.0,1.73,96.4
1988,0.900,143.5,76.9,120.9,1.75,98.0
1989,0.997,159.0,77.5,121.9,1.69,94.7
1990,1.149,183.3,75.1,118.1,1.55,86.8
1991,1.196,190.8,73.6,115.7,1.46,81.6
1992,1.190,189.9,74.6,117.3,1.43,80.1
1993,1.173,187.2,74.5,117.1,1.42,79.5
1994,1.174,187.3,74.1,116.5,1.42,79.4
1995,1.205,192.3,74.3,116.8,1.45,81.0
1996,1.288,205.5,73.3,115.3,1.42,79.4
1997,1.291,206.1,73.0,114.8,1.48,82.6
1998,1.115,178.0,72.8,114.5,1.48,82.9
1999,1.221,194.9,72.6,114.2,1.48,82.6
2000,1.563,249.5,71.6,112.6,1.49,83.2
2001,1.531,244.4,70.7,111.2,1.44,80.4
2002,1.441,230.0,69.5,109.3,1.38,77.0
2003,1.638,261.5,67.3,105.8,1.41,78.8
2004,1.923,306.9,67.2,105.7,1.39,77.7
2005,2.338,373.2,66.6,104.7,1.38,77.1
2006,2.635,420.6,66.7,104.9,1.40,78.1
2007,2.849,454.7,65.0,102.2,1.40,78.0
2008,3.317,529.4,65.1,102.4,1.40,78.0
2009,2.401,383.2,63.0,99.1,1.35,75.3
2010,2.836,452.8,60.5,95.1,1.31,73.3
2011,3.577,571.2,59.5,93.6,1.25,69.9
2012,3.695,589.8,60.5,95.1,1.21,67.8
2013,3.584,572.0,60.5,95.1,1.26,70.5
2014,3.425,546.7,60.5,95.1,1.19,66.3
2015,2.510,400.4,60.0,94.3,1.17,65.3
2016,2.204,351.5,60.1,94.5,1.18,65.9
2017,2.469,393.7,60.6,95.3,1.17,65.2
2018,2.794,445.5,60.6,95.3,1.16,64.6
2019,2.698,430.3,61.8,97.2,1.15,64.1
2020,2.242,357.5,57.3,90.1,1.08,60.4
2021,3.133,499.7,60.5,95.1,1.10,61.5
2022,4.192,668.7,60.4,95.0,1.10,61.5
2023,3.771,601.5,60.2,94.7,1.11,61.8
2024,3.579,570.9,60.4,95.0,1.12,62.7
