Year,YouthJulLFPR,Licensed16_18Share,YouthJulLFPR_Index1963,Licensed16_18Share_Index1963
1963,63.6,5.40,100.0,100.0
1964,63.2,5.86,99.4,108.5
1965,65.3,6.16,102.7,114.1
1966,66.7,6.06,104.9,112.4
1967,67.7,5.89,106.4,109.2
1968,67.8,5.88,106.6,108.9
1969,68.6,6.02,107.9,111.6
1970,68.7,6.08,108.0,112.8
1971,68.9,5.93,108.3,109.8
1972,70.2,6.02,110.4,111.6
1973,71.9,6.24,113.1,115.6
1974,73.2,6.28,115.1,116.3
1975,73.0,6.23,114.8,115.4
1976,74.1,6.08,116.5,112.7
1977,74.7,5.88,117.5,108.9
1978,76.5,5.83,120.3,108.1
1979,76.6,5.67,120.4,105.2
1980,76.3,5.41,120.0,100.3
1981,75.3,5.18,118.4,95.9
1982,74.7,4.87,117.5,90.3
1983,75.6,4.87,118.9,90.3
1984,76.3,4.44,120.0,82.3
1985,76.5,4.33,120.3,80.3
1986,76.7,4.30,120.6,79.6
1987,76.3,4.29,120.0,79.5
1988,76.9,4.21,120.9,78.0
1989,77.5,3.96,121.9,73.5
1990,75.1,3.69,118.1,68.5
1991,73.6,3.51,115.7,65.0
1992,74.6,3.45,117.3,64.0
1993,74.5,3.48,117.1,64.5
1994,74.1,3.51,116.5,65.1
1995,74.3,3.61,116.8,66.9
1996,73.3,3.57,115.3,66.2
1997,73.0,3.70,114.8,68.6
1998,72.8,3.66,114.5,67.8
1999,72.6,3.50,114.2,64.9
2000,71.6,3.48,112.6,64.5
2001,70.7,3.30,111.2,61.1
2002,69.5,3.15,109.3,58.4
2003,67.3,3.16,105.8,58.6
2004,67.2,3.12,105.7,57.7
2005,66.6,3.07,104.7,57.0
2006,66.7,3.15,104.9,58.3
2007,65.0,3.15,102.2,58.4
2008,65.1,3.08,102.4,57.2
2009,63.0,2.98,99.1,55.3
2010,60.5,2.87,95.1,53.2
2011,59.5,2.72,93.6,50.4
2012,60.5,2.69,95.1,49.8
2013,60.5,2.76,95.1,51.2
2014,60.5,2.54,95.1,47.1
2015,60.0,2.54,94.3,47.0
2016,60.1,2.58,94.5,47.7
2017,60.6,2.54,95.3,47.0
2018,60.6,2.49,95.3,46.2
2019,61.8,2.48,97.2,45.9
2020,57.3,2.35,90.1,43.5
2021,60.5,2.35,95.1,43.6
2022,60.4,2.34,95.0,43.4
2023,60.2,2.40,94.7,44.4
2024,60.4,2.46,95.0,45.6
