Year,MinWage,UsedVehiclePurchases,VehicleInsurance,GasolineAndMotorOil,TotalOwnershipCost,HoursAtMinWage,WeeksAt40Hours,SummerJobsAt480Hours
1963,1.183,449.76,61.70,0.09,511.54,432.45,10.81,0.90
1964,1.217,470.13,65.01,0.09,535.22,439.71,10.99,0.92
1965,1.183,466.99,71.15,0.09,538.24,455.02,11.38,0.95
1966,1.250,454.46,76.35,0.09,530.90,424.72,10.62,0.88
1967,1.387,468.56,78.48,0.09,547.14,394.40,9.86,0.82
1968,1.583,476.40,80.14,0.09,556.63,351.62,8.79,0.73
1969,1.325,484.23,87.23,0.10,571.56,431.21,10.78,0.90
1970,1.437,488.93,99.28,0.10,588.32,409.33,10.23,0.85
1971,1.587,517.14,110.63,0.10,627.87,395.57,9.89,0.82
1972,1.600,518.71,110.16,0.10,628.97,393.11,9.83,0.82
1973,1.600,551.62,108.27,0.11,659.99,412.50,10.31,0.86
1974,1.868,575.12,108.27,0.15,683.54,365.82,9.15,0.76
1975,2.100,686.39,114.41,0.16,800.96,381.41,9.54,0.79
1976,2.300,788.25,147.27,0.17,935.69,406.82,10.17,0.85
1977,2.300,857.20,165.00,0.17,1022.38,444.51,11.11,0.93
1978,2.650,874.44,169.73,0.18,1044.34,394.09,9.85,0.82
1979,2.900,943.39,179.18,0.24,1122.82,387.18,9.68,0.81
1980,3.100,976.30,193.84,0.33,1170.48,377.57,9.44,0.79
1981,3.350,1205.10,203.06,0.37,1408.52,420.46,10.51,0.88
1982,3.350,1391.58,216.06,0.34,1607.99,480.00,12.00,1.00
1983,3.350,1546.72,237.34,0.33,1784.39,532.65,13.32,1.11
1984,3.350,1762.98,255.77,0.32,2019.07,602.71,15.07,1.26
1985,3.350,1781.79,281.78,0.31,2063.88,616.08,15.40,1.28
1986,3.350,1705.00,319.13,0.24,2024.37,604.29,15.11,1.26
1987,3.350,1772.39,345.60,0.25,2118.24,632.31,15.81,1.32
1988,3.350,1849.17,370.19,0.25,2219.61,662.57,16.56,1.38
1989,3.350,1886.78,393.83,0.28,2280.89,680.86,17.02,1.42
1990,3.689,1842.91,420.54,0.32,2263.77,613.65,15.34,1.28
1991,4.139,1850.74,452.69,0.32,2303.75,556.59,13.91,1.16
1992,4.250,1930.66,485.78,0.32,2416.76,568.65,14.22,1.18
1993,4.250,2098.34,512.26,0.31,2610.91,614.33,15.36,1.28
1994,4.250,2220.58,531.40,0.31,2752.29,647.60,16.19,1.35
1995,4.250,2452.51,553.86,0.32,3006.69,707.46,17.69,1.47
1996,4.376,2460.34,576.56,0.34,3037.24,694.12,17.35,1.45
1997,4.884,2367.88,594.76,0.34,2962.98,606.71,15.17,1.26
1998,5.150,2360.05,601.14,0.30,2961.48,575.05,14.38,1.20
1999,5.150,2381.99,599.96,0.32,2982.27,579.08,14.48,1.21
2000,5.150,2441.54,606.81,0.41,3048.76,591.99,14.80,1.23
2001,5.150,2486.98,633.76,0.41,3121.15,606.05,15.15,1.26
2002,5.150,2381.99,689.31,0.38,3071.68,596.44,14.91,1.24
2003,5.150,2239.38,743.21,0.43,2983.03,579.23,14.48,1.21
2004,5.150,2088.94,764.01,0.51,2853.46,554.07,13.85,1.15
2005,5.150,2184.53,779.85,0.62,2965.00,575.73,14.39,1.20
2006,5.150,2193.94,784.34,0.70,2978.98,578.44,14.46,1.21
2007,5.459,2127.29,787.52,0.76,2915.56,534.11,13.35,1.11
2008,6.158,2099.14,807.32,0.88,2907.34,472.13,11.80,0.98
2009,6.859,1989.79,843.91,0.64,2834.33,413.24,10.33,0.86
2010,7.250,2242.95,886.89,0.75,3130.59,431.81,10.80,0.90
2011,7.250,2335.15,918.74,0.95,3254.84,448.94,11.22,0.94
2012,7.250,2355.82,951.41,0.98,3308.21,456.30,11.41,0.95
2013,7.250,2348.87,991.42,0.95,3341.24,460.86,11.52,0.96
2014,7.250,2336.45,1033.54,0.91,3370.90,464.95,11.62,0.97
2015,7.250,2305.51,1088.84,0.67,3395.02,468.28,11.71,0.98
2016,7.250,2248.60,1156.30,0.58,3405.48,469.72,11.74,0.98
2017,7.250,2166.65,1245.57,0.65,3412.87,470.74,11.77,0.98
2018,7.250,2168.63,1337.87,0.74,3507.23,483.76,12.09,1.01
2019,7.250,2190.22,1349.86,0.72,3540.80,488.39,12.21,1.02
2020,7.250,2260.08,1287.46,0.59,3548.14,489.40,12.23,1.02
2021,7.250,2861.96,1336.34,0.83,4199.13,579.19,14.48,1.21
2022,7.250,3226.78,1441.60,1.11,4669.49,644.07,16.10,1.34
2023,7.250,2996.63,1692.56,1.00,4690.20,646.92,16.17,1.35
2024,7.250,2818.00,1993.00,0.95,4811.95,663.72,16.59,1.38
